datum,ISTAT_code,name_IT,totals
2020-04-22,21001,ALDINO,9
2020-04-22,21002,ANDRIANO,6
2020-04-22,21003,ANTERIVO,2
2020-04-22,21004,APPIANO SULLA STRADA DEL VINO,154
2020-04-22,21005,AVELENGO,3
2020-04-22,21006,BADIA,34
2020-04-22,21007,BARBIANO,4
2020-04-22,21008,BOLZANO,512
2020-04-22,21009,BRAIES,5
2020-04-22,21010,BRENNERO,12
2020-04-22,21011,BRESSANONE,104
2020-04-22,21012,BRONZOLO,12
2020-04-22,21013,BRUNICO,88
2020-04-22,21015,CALDARO SULLA STRADA DEL VINO,15
2020-04-22,21016,CAMPO DI TRENS,12
2020-04-22,21017,CAMPO TURES,9
2020-04-22,21018,CASTELBELLO-CIARDES,2
2020-04-22,21019,CASTELROTTO,80
2020-04-22,21020,CERMES,1
2020-04-22,21021,CHIENES,12
2020-04-22,21022,CHIUSA,10
2020-04-22,21023,CORNEDO ALL'ISARCO,13
2020-04-22,21024,CORTACCIA SULLA STRADA DEL VINO,6
2020-04-22,21025,CORTINA SULLA STRADA DEL VINO,5
2020-04-22,21026,CORVARA IN BADIA,22
2020-04-22,21027,CURON VENOSTA,2
2020-04-22,21028,DOBBIACO,11
2020-04-22,21029,EGNA,22
2020-04-22,21030,FALZES,11
2020-04-22,21031,FIE' ALLO SCILIAR,13
2020-04-22,21032,FORTEZZA,4
2020-04-22,21033,FUNES,18
2020-04-22,21034,GAIS,10
2020-04-22,21035,GARGAZZONE,2
2020-04-22,21037,LACES,1
2020-04-22,21038,LAGUNDO,10
2020-04-22,21039,LAION,18
2020-04-22,21040,LAIVES,109
2020-04-22,21041,LANA,32
2020-04-22,21042,LASA,3
2020-04-22,21044,LUSON,1
2020-04-22,21045,MAGRE' SULLA STRADA DEL VINO,2
2020-04-22,21046,MALLES VENOSTA,1
2020-04-22,21047,MAREBBE,15
2020-04-22,21048,MARLENGO,2
2020-04-22,21050,MELTINA,4
2020-04-22,21051,MERANO,106
2020-04-22,21052,MONGUELFO - TESIDO,9
2020-04-22,21053,MONTAGNA,18
2020-04-22,21054,MOSO IN PASSIRIA,14
2020-04-22,21055,NALLES,9
2020-04-22,21056,NATURNO,3
2020-04-22,21057,NAZ-SCIAVES,11
2020-04-22,21058,NOVA LEVANTE,3
2020-04-22,21059,NOVA PONENTE,7
2020-04-22,21060,ORA,39
2020-04-22,21061,ORTISEI,53
2020-04-22,21063,PERCA,5
2020-04-22,21066,POSTAL,8
2020-04-22,21067,PRATO ALLO STELVIO,4
2020-04-22,21068,PREDOI,4
2020-04-22,21070,RACINES,26
2020-04-22,21071,RASUN ANTERSELVA,3
2020-04-22,21072,RENON,18
2020-04-22,21073,RIFIANO,6
2020-04-22,21074,RIO DI PUSTERIA,2
2020-04-22,21075,RODENGO,4
2020-04-22,21076,SALORNO SULLA STRADA DEL VINO,19
2020-04-22,21077,SAN CANDIDO,21
2020-04-22,21079,SAN GENESIO ATESINO,17
2020-04-22,21080,SAN LEONARDO IN PASSIRIA,37
2020-04-22,21081,SAN LORENZO DI SEBATO,11
2020-04-22,21082,SAN MARTINO IN BADIA,8
2020-04-22,21083,SAN MARTINO IN PASSIRIA,9
2020-04-22,21084,SAN PANCRAZIO,3
2020-04-22,21085,SANTA CRISTINA VALGARDENA,27
2020-04-22,21086,SARENTINO,5
2020-04-22,21087,SCENA,2
2020-04-22,21088,SELVA DEI MOLINI,2
2020-04-22,21089,SELVA DI VAL GARDENA,46
2020-04-22,21092,SESTO,2
2020-04-22,21093,SILANDRO,3
2020-04-22,21096,TERENTO,1
2020-04-22,21097,TERLANO,45
2020-04-22,21098,TERMENO SULLA STRADA DEL VINO,6
2020-04-22,21099,TESIMO,21
2020-04-22,21100,TIRES,3
2020-04-22,21101,TIROLO,5
2020-04-22,21102,TRODENA NEL PARCO NATURALE,6
2020-04-22,21104,ULTIMO,1
2020-04-22,21105,VADENA,8
2020-04-22,21106,VALDAORA,10
2020-04-22,21107,VAL DI VIZZE,19
2020-04-22,21108,VALLE AURINA,12
2020-04-22,21109,VALLE DI CASIES,9
2020-04-22,21110,VANDOIES,16
2020-04-22,21111,VARNA,20
2020-04-22,21112,VERANO,1
2020-04-22,21113,VILLABASSA,30
2020-04-22,21114,VILLANDRO,2
2020-04-22,21115,VIPITENO,22
2020-04-22,21116,VELTURNO,10
2020-04-22,21117,LA VALLE,15
2020-04-22,21118,SENALE-SAN FELICE,5
