datum,ISTAT_code,name_IT,totals
2020-10-09,5015,CALOSSO,1
2020-10-09,6047,CASTELLAZZO BORMIDA,1
2020-10-09,10025,GENOVA,4
2020-10-09,10028,LAVAGNA,1
2020-10-09,12014,BIANDRONNO,1
2020-10-09,13040,CAMPIONE D'ITALIA,1
2020-10-09,13157,MONTORFANO,1
2020-10-09,15027,BOLLATE,1
2020-10-09,15146,MILANO,3
2020-10-09,15250,BARANZATE,3
2020-10-09,17029,BRESCIA,3
2020-10-09,18083,LOMELLO,2
2020-10-09,21001,ALDINO,10
2020-10-09,21002,ANDRIANO,6
2020-10-09,21003,ANTERIVO,4
2020-10-09,21004,APPIANO SULLA STRADA DEL VINO,180
2020-10-09,21005,AVELENGO,6
2020-10-09,21006,BADIA,38
2020-10-09,21007,BARBIANO,10
2020-10-09,21008,BOLZANO,863
2020-10-09,21009,BRAIES,11
2020-10-09,21010,BRENNERO,15
2020-10-09,21011,BRESSANONE,157
2020-10-09,21012,BRONZOLO,22
2020-10-09,21013,BRUNICO,125
2020-10-09,21015,CALDARO SULLA STRADA DEL VINO,20
2020-10-09,21016,CAMPO DI TRENS,15
2020-10-09,21017,CAMPO TURES,13
2020-10-09,21018,CASTELBELLO-CIARDES,3
2020-10-09,21019,CASTELROTTO,84
2020-10-09,21020,CERMES,12
2020-10-09,21021,CHIENES,16
2020-10-09,21022,CHIUSA,19
2020-10-09,21023,CORNEDO ALL'ISARCO,44
2020-10-09,21024,CORTACCIA SULLA STRADA DEL VINO,7
2020-10-09,21025,CORTINA SULLA STRADA DEL VINO,11
2020-10-09,21026,CORVARA IN BADIA,21
2020-10-09,21027,CURON VENOSTA,2
2020-10-09,21028,DOBBIACO,13
2020-10-09,21029,EGNA,41
2020-10-09,21030,FALZES,17
2020-10-09,21031,FIE' ALLO SCILIAR,23
2020-10-09,21032,FORTEZZA,14
2020-10-09,21033,FUNES,21
2020-10-09,21034,GAIS,11
2020-10-09,21035,GARGAZZONE,4
2020-10-09,21037,LACES,8
2020-10-09,21038,LAGUNDO,15
2020-10-09,21039,LAION,20
2020-10-09,21040,LAIVES,165
2020-10-09,21041,LANA,52
2020-10-09,21042,LASA,12
2020-10-09,21043,LAUREGNO,1
2020-10-09,21044,LUSON,6
2020-10-09,21045,MAGRE' SULLA STRADA DEL VINO,5
2020-10-09,21046,MALLES VENOSTA,13
2020-10-09,21047,MAREBBE,16
2020-10-09,21048,MARLENGO,6
2020-10-09,21049,MARTELLO,6
2020-10-09,21050,MELTINA,5
2020-10-09,21051,MERANO,229
2020-10-09,21052,MONGUELFO - TESIDO,14
2020-10-09,21053,MONTAGNA,21
2020-10-09,21054,MOSO IN PASSIRIA,15
2020-10-09,21055,NALLES,9
2020-10-09,21056,NATURNO,7
2020-10-09,21057,NAZ-SCIAVES,15
2020-10-09,21058,NOVA LEVANTE,4
2020-10-09,21059,NOVA PONENTE,9
2020-10-09,21060,ORA,42
2020-10-09,21061,ORTISEI,56
2020-10-09,21062,PARCINES,5
2020-10-09,21063,PERCA,5
2020-10-09,21064,PLAUS,1
2020-10-09,21066,POSTAL,11
2020-10-09,21067,PRATO ALLO STELVIO,9
2020-10-09,21068,PREDOI,5
2020-10-09,21070,RACINES,28
2020-10-09,21071,RASUN ANTERSELVA,6
2020-10-09,21072,RENON,29
2020-10-09,21073,RIFIANO,6
2020-10-09,21074,RIO DI PUSTERIA,10
2020-10-09,21075,RODENGO,6
2020-10-09,21076,SALORNO SULLA STRADA DEL VINO,36
2020-10-09,21077,SAN CANDIDO,27
2020-10-09,21079,SAN GENESIO ATESINO,22
2020-10-09,21080,SAN LEONARDO IN PASSIRIA,39
2020-10-09,21081,SAN LORENZO DI SEBATO,21
2020-10-09,21082,SAN MARTINO IN BADIA,8
2020-10-09,21083,SAN MARTINO IN PASSIRIA,9
2020-10-09,21084,SAN PANCRAZIO,5
2020-10-09,21085,SANTA CRISTINA VALGARDENA,27
2020-10-09,21086,SARENTINO,5
2020-10-09,21087,SCENA,2
2020-10-09,21088,SELVA DEI MOLINI,4
2020-10-09,21089,SELVA DI VAL GARDENA,50
2020-10-09,21092,SESTO,63
2020-10-09,21093,SILANDRO,6
2020-10-09,21094,SLUDERNO,1
2020-10-09,21095,STELVIO,3
2020-10-09,21096,TERENTO,3
2020-10-09,21097,TERLANO,59
2020-10-09,21098,TERMENO SULLA STRADA DEL VINO,10
2020-10-09,21099,TESIMO,22
2020-10-09,21100,TIRES,5
2020-10-09,21101,TIROLO,6
2020-10-09,21102,TRODENA NEL PARCO NATURALE,7
2020-10-09,21104,ULTIMO,2
2020-10-09,21105,VADENA,8
2020-10-09,21106,VALDAORA,12
2020-10-09,21107,VAL DI VIZZE,28
2020-10-09,21108,VALLE AURINA,17
2020-10-09,21109,VALLE DI CASIES,13
2020-10-09,21110,VANDOIES,17
2020-10-09,21111,VARNA,26
2020-10-09,21112,VERANO,1
2020-10-09,21113,VILLABASSA,33
2020-10-09,21114,VILLANDRO,7
2020-10-09,21115,VIPITENO,44
2020-10-09,21116,VELTURNO,12
2020-10-09,21117,LA VALLE,17
2020-10-09,21118,SENALE-SAN FELICE,5
2020-10-09,22062,CLES,1
2020-10-09,22116,MEZZOCORONA,2
2020-10-09,22117,MEZZOLOMBARDO,1
2020-10-09,22131,OSSANA,1
2020-10-09,22160,ROVERE' DELLA LUNA,1
2020-10-09,22167,SAN MICHELE ALL'ADIGE,1
2020-10-09,22205,TRENTO,3
2020-10-09,22213,VERMIGLIO,1
2020-10-09,22250,SAN GIOVANNI DI FASSA-SEN JAN,1
2020-10-09,22251,TERRE D'ADIGE,1
2020-10-09,22252,BORGO D'ANAUNIA,1
2020-10-09,23012,BOVOLONE,1
2020-10-09,23025,CEREA,1
2020-10-09,23094,VIGASIO,1
2020-10-09,24017,BROGLIANO,1
2020-10-09,25005,AURONZO DI CADORE,1
2020-10-09,25015,COMELICO SUPERIORE,1
2020-10-09,25039,PIEVE DI CADORE,2
2020-10-09,25065,VIGO DI CADORE,1
2020-10-09,26043,MOGLIANO VENETO,1
2020-10-09,27005,CAORLE,1
2020-10-09,27011,CONCORDIA SAGITTARIA,1
2020-10-09,27036,SAN STINO DI LIVENZA,1
2020-10-09,27042,VENEZIA,3
2020-10-09,28016,CADONEGHE,1
2020-10-09,28034,CONSELVE,1
2020-10-09,28060,PADOVA,1
2020-10-09,28103,VILLAFRANCA PADOVANA,1
2020-10-09,30018,CARLINO,1
2020-10-09,30047,LAUCO,1
2020-10-09,30055,MANZANO,1
2020-10-09,30064,MUZZANA DEL TURGNANO,1
2020-10-09,31007,GORIZIA,1
2020-10-09,32001,DUINO-AURISINA,1
2020-10-09,32006,TRIESTE,3
2020-10-09,35020,CORREGGIO,1
2020-10-09,36005,CARPI,1
2020-10-09,37028,GALLIERA,1
2020-10-09,37061,VALSAMOGGIA,1
2020-10-09,39014,RAVENNA,1
2020-10-09,41014,FERMIGNANO,1
2020-10-09,44045,MONTEPRANDONE,1
2020-10-09,48004,BORGO SAN LORENZO,1
2020-10-09,48017,FIRENZE,1
2020-10-09,48025,LONDA,1
2020-10-09,48032,PELAGO,1
2020-10-09,50026,PISA,2
2020-10-09,52017,MONTERONI D'ARBIA,1
2020-10-09,53011,GROSSETO,1
2020-10-09,57052,POGGIO CATINO,1
2020-10-09,58007,ANZIO,1
2020-10-09,58047,GUIDONIA MONTECELIO,1
2020-10-09,58091,ROMA,8
2020-10-09,58107,TREVIGNANO ROMANO,1
2020-10-09,59011,LATINA,1
2020-10-09,61018,CASAGIOVE,1
2020-10-09,61022,CASERTA,1
2020-10-09,63001,ACERRA,2
2020-10-09,63002,AFRAGOLA,1
2020-10-09,63049,NAPOLI,1
2020-10-09,63066,SAN GENNARO VESUVIANO,1
2020-10-09,65002,AGROPOLI,2
2020-10-09,65082,OLEVANO SUL TUSCIANO,1
2020-10-09,68022,MANOPPELLO,1
2020-10-09,69013,CASACANDITELLA,1
2020-10-09,69099,VASTO,1
2020-10-09,71024,FOGGIA,2
2020-10-09,71029,MANFREDONIA,1
2020-10-09,71052,SANT' AGATA DI PUGLIA,1
2020-10-09,71060,VIESTE,2
2020-10-09,72006,BARI,1
2020-10-09,72023,GRAVINA IN PUGLIA,1
2020-10-09,72029,MOLFETTA,1
2020-10-09,73004,CRISPIANO,1
2020-10-09,73021,PALAGIANO,1
2020-10-09,76066,RIONERO IN VULTURE,1
2020-10-09,80036,GERACE,1
2020-10-09,80053,MONTEBELLO IONICO,1
2020-10-09,81021,TRAPANI,1
2020-10-09,83048,MESSINA,1
2020-10-09,83061,NIZZA DI SICILIA,1
2020-10-09,84021,LICATA,1
2020-10-09,85004,CALTANISSETTA,1
2020-10-09,85016,SAN CATALDO,1
2020-10-09,90083,GOLFO ARANCI,1
2020-10-09,92009,CAGLIARI,2
2020-10-09,92015,DECIMOMANNU,1
2020-10-09,93036,ROVEREDO IN PIANO,1
2020-10-09,97048,MERATE,1
2020-10-09,97059,OLGINATE,1
2020-10-09,97065,PASTURO,1
2020-10-09,99002,CATTOLICA,1
2020-10-09,101010,CROTONE,1
2020-10-09,102037,SERRA SAN BRUNO,1
2020-10-09,103028,DOMODOSSOLA,1
2020-10-09,108033,MONZA,1
2020-10-09,110010,TRINITAPOLI,1
2020-10-09,111009,CARBONIA,1
2020-10-09,111034,GUSPINI,2
2020-10-09,111062,SAN GAVINO MONREALE,1
