datum,ISTAT_code,name_IT,totals
2020-09-29,5015,CALOSSO,1
2020-09-29,10025,GENOVA,4
2020-09-29,10028,LAVAGNA,1
2020-09-29,13040,CAMPIONE D'ITALIA,1
2020-09-29,15027,BOLLATE,1
2020-09-29,15146,MILANO,2
2020-09-29,15250,BARANZATE,3
2020-09-29,17029,BRESCIA,3
2020-09-29,18083,LOMELLO,2
2020-09-29,21001,ALDINO,10
2020-09-29,21002,ANDRIANO,6
2020-09-29,21003,ANTERIVO,4
2020-09-29,21004,APPIANO SULLA STRADA DEL VINO,174
2020-09-29,21005,AVELENGO,6
2020-09-29,21006,BADIA,38
2020-09-29,21007,BARBIANO,10
2020-09-29,21008,BOLZANO,743
2020-09-29,21009,BRAIES,11
2020-09-29,21010,BRENNERO,15
2020-09-29,21011,BRESSANONE,142
2020-09-29,21012,BRONZOLO,22
2020-09-29,21013,BRUNICO,120
2020-09-29,21015,CALDARO SULLA STRADA DEL VINO,19
2020-09-29,21016,CAMPO DI TRENS,11
2020-09-29,21017,CAMPO TURES,11
2020-09-29,21018,CASTELBELLO-CIARDES,3
2020-09-29,21019,CASTELROTTO,84
2020-09-29,21020,CERMES,11
2020-09-29,21021,CHIENES,15
2020-09-29,21022,CHIUSA,19
2020-09-29,21023,CORNEDO ALL'ISARCO,28
2020-09-29,21024,CORTACCIA SULLA STRADA DEL VINO,7
2020-09-29,21025,CORTINA SULLA STRADA DEL VINO,11
2020-09-29,21026,CORVARA IN BADIA,21
2020-09-29,21027,CURON VENOSTA,2
2020-09-29,21028,DOBBIACO,13
2020-09-29,21029,EGNA,31
2020-09-29,21030,FALZES,16
2020-09-29,21031,FIE' ALLO SCILIAR,22
2020-09-29,21032,FORTEZZA,13
2020-09-29,21033,FUNES,21
2020-09-29,21034,GAIS,10
2020-09-29,21035,GARGAZZONE,4
2020-09-29,21037,LACES,7
2020-09-29,21038,LAGUNDO,15
2020-09-29,21039,LAION,20
2020-09-29,21040,LAIVES,160
2020-09-29,21041,LANA,50
2020-09-29,21042,LASA,8
